"","metodologia","mse","accuracy","n","seed"
"1","Lasso",57.6204027591386,0.62,557,1
"2","Ada Lasso",58.6973227783785,0.64,766,1
"3","Local prior",58.1487292809178,0.64,1415,1
"4","Non local",60.1481467247877,0.64,2300,1
"5","Lasso mod 10000",58.068101519909,0.4,292,1
"6","Lasso mod 200",58.4478349990915,0.54,525,1
"7","Lasso mod 100",57.4813477469017,0.56,1022,1
"8","Lasso mod 50",57.7376844316065,0.58,920,1
"9","Naive",62.2639587769254,0.4,200,1
"10","Oracle",56.1687467230853,1,471,1
"11","Lasso",55.2165123883256,0.64,876,2
"12","Ada Lasso",57.4592132434508,0.62,1840,2
"13","Local prior",56.6723548674654,0.66,2044,2
"14","Non local",60.1901813932719,0.64,4600,2
"15","Lasso mod 10000",55.2222521542031,0.72,634,2
"16","Lasso mod 200",55.2222521542031,0.72,634,2
"17","Lasso mod 100",55.2222521542031,0.72,634,2
"18","Lasso mod 50",55.7762734194953,0.68,2044,2
"19","Naive",61.5046142204196,0.4,200,2
"20","Oracle",52.2765769789439,1,557,2
"21","Lasso",71.5012773694041,0.6,497,3
"22","Ada Lasso",70.0143385798434,0.66,681,3
"23","Local prior",74.210089062181,0.62,1226,3
"24","Non local",78.0327334439885,0.62,1672,3
"25","Lasso mod 10000",69.777019790697,0.58,471,3
"26","Lasso mod 200",69.8063565605432,0.68,1226,3
"27","Lasso mod 100",69.8063565605432,0.68,1226,3
"28","Lasso mod 50",69.8063565605432,0.68,1226,3
"29","Naive",74.0348815214366,0.4,200,3
"30","Oracle",68.1316182859932,1,525,3
"31","Lasso",64.1413435420916,0.76,438,4
"32","Ada Lasso",63.4798214659501,0.7,1082,4
"33","Local prior",67.5443737502304,0.66,2300,4
"34","Non local",75.5714094373434,0.58,9200,4
"35","Lasso mod 10000",63.9566459259206,0.62,541,4
"36","Lasso mod 200",63.6596602093417,0.66,525,4
"37","Lasso mod 100",66.9889618682272,0.62,1840,4
"38","Lasso mod 50",70.6975836791885,0.6,2300,4
"39","Naive",68.3325554638321,0.4,200,4
"40","Oracle",60.6805606685416,1,471,4
"41","Lasso",18.3682786768115,0.56,283,5
"42","Ada Lasso",19.4602530084592,0.68,736,5
"43","Local prior",19.4567382997581,0.66,1226,5
"44","Non local",18.64424395508,0.68,1150,5
"45","Lasso mod 10000",18.8336465553999,0.52,287,5
"46","Lasso mod 200",18.9406478205748,0.58,471,5
"47","Lasso mod 100",19.5477431612715,0.62,766,5
"48","Lasso mod 50",25.6385106756225,0.6,Inf,5
"49","Naive",19.2419316889362,0.4,200,5
"50","Oracle",17.8586808605586,1,511,5
"51","Lasso",62.3673720641989,0.62,541,6
"52","Ada Lasso",69.492005351244,0.64,4600,6
"53","Local prior",65.7201094814209,0.66,3066,6
"54","Non local",69.492005351244,0.64,4600,6
"55","Lasso mod 10000",63.5061847394799,0.66,876,6
"56","Lasso mod 200",61.8850028718958,0.7,707,6
"57","Lasso mod 100",64.2776029499857,0.62,1314,6
"58","Lasso mod 50",67.2355128974513,0.66,2300,6
"59","Naive",67.4918371221235,0.4,200,6
"60","Oracle",60.9089843933954,1,541,6
"61","Lasso",47.4547548840813,0.72,511,7
"62","Ada Lasso",48.9618768595015,0.72,1226,7
"63","Local prior",48.9258187940355,0.68,1533,7
"64","Non local",49.2748223780491,0.68,2628,7
"65","Lasso mod 10000",47.448959510916,0.74,657,7
"66","Lasso mod 200",47.448959510916,0.74,657,7
"67","Lasso mod 100",47.448959510916,0.74,657,7
