"","metodologia","mse","accuracy","n","seed"
"1","Lasso",24.1462883710786,0.7,448,1
"2","Ada Lasso",23.7796252904069,0.7,657,1
"3","Local prior",26.3892500752297,0.66,1226,1
"4","Non local",26.7417523780683,0.62,1840,1
"5","Lasso mod 10000",24.5320632315546,0.52,306,1
"6","Lasso mod 200",24.0796486273933,0.64,438,1
"7","Lasso mod 100",24.4959918820449,0.64,707,1
"8","Lasso mod 50",24.9242349184478,0.6,836,1
"9","Naive",26.0685080006669,0.4,200,1
"10","Oracle",23.2110081625263,1,471,1
"11","Lasso",25.4804299705875,0.76,541,2
"12","Ada Lasso",28.3289462378687,0.68,1415,2
"13","Local prior",29.5335557188766,0.66,2044,2
"14","Non local",29.3322930884215,0.68,3066,2
"15","Lasso mod 10000",25.198975559483,0.7,471,2
"16","Lasso mod 200",25.6209518444951,0.74,657,2
"17","Lasso mod 100",25.6209518444951,0.74,657,2
"18","Lasso mod 50",26.9048162533148,0.68,1150,2
"19","Naive",27.6392933339394,0.4,200,2
"20","Oracle",24.4935454348993,1,557,2
"21","Lasso",29.7663189054672,0.72,438,3
"22","Ada Lasso",30.9640049396097,0.68,613,3
"23","Local prior",31.2227943783675,0.72,1150,3
"24","Non local",36.4286695643754,0.62,1226,3
"25","Lasso mod 10000",29.9817848236495,0.64,383,3
"26","Lasso mod 200",29.6226707930272,0.72,634,3
"27","Lasso mod 100",29.7208600443516,0.72,707,3
"28","Lasso mod 50",32.330720646988,0.7,1314,3
"29","Naive",32.0808040332149,0.4,200,3
"30","Oracle",29.1759171894079,1,525,3
"31","Lasso",28.6939028219581,0.66,334,4
"32","Ada Lasso",28.3449761315524,0.78,471,4
"33","Local prior",29.3339524117808,0.76,1082,4
"34","Non local",29.7601237348313,0.74,1415,4
"35","Lasso mod 10000",29.2572661888684,0.72,460,4
"36","Lasso mod 200",28.8630140342358,0.66,593,4
"37","Lasso mod 100",28.8630140342358,0.66,593,4
