"","metodologia","mse","accuracy","n","seed"
"1","Lasso",359.135243701853,0.36,766,1
"2","Ada Lasso",358.113942418206,0.26,2628,1
"3","Local prior",363.033812249162,0.2,9200,1
"4","Non local",380.984681635002,0.2,Inf,1
"5","Ada mod",350.134313051775,0.22,2044,1
"6","Lasso mod",355.237672261176,0.26,1672,1
"7","Naive",424.477447895996,0.8,200,1
"8","Oracle",398.071204774118,1,245,1
"9","Lasso",449.513935536536,0.32,920,2
"10","Ada Lasso",451.750179675216,0.24,2628,2
"11","Local prior",453.415842404385,0.26,3066,2
"12","Non local",459.717425791054,0.2,Inf,2
"13","Ada mod",452.24553188723,0.22,3680,2
"14","Lasso mod",447.87997503953,0.34,1840,2
"15","Naive",492.627457288101,0.8,200,2
"16","Oracle",463.547353802557,1,252,2
"17","Lasso",372.655799106963,0.2,Inf,3
"18","Ada Lasso",356.470935465931,0.24,6133,3
"19","Local prior",361.926843050101,0.22,9200,3
"20","Non local",372.655799106963,0.2,Inf,3
"21","Ada mod",372.655799106963,0.2,Inf,3
"22","Lasso mod",362.265878867619,0.28,4600,3
"23","Naive",395.230717294786,0.8,200,3
"24","Oracle",365.080804198819,1,245,3
"25","Lasso",513.139760572314,0.2,Inf,4
"26","Ada Lasso",513.139760572314,0.2,Inf,4
"27","Local prior",505.334204144698,0.24,6133,4
"28","Non local",513.139760572314,0.2,Inf,4
"29","Ada mod",513.139760572314,0.2,Inf,4
"30","Lasso mod",513.139760572314,0.2,Inf,4
"31","Naive",524.810384273445,0.8,200,4
"32","Oracle",508.803906323168,1,255,4
"33","Lasso",171.720735480894,0.22,6133,5
"34","Ada Lasso",172.132900317167,0.2,Inf,5
"35","Local prior",172.132900317167,0.2,Inf,5
"36","Non local",172.132900317167,0.2,Inf,5
"37","Ada mod",172.132900317167,0.2,Inf,5
"38","Lasso mod",172.132900317167,0.2,Inf,5
"39","Naive",173.971292538055,0.8,200,5
"40","Oracle",168.058119498772,1,262,5
"41","Lasso",470.631937137993,0.52,541,6
"42","Ada Lasso",462.97993000244,0.42,920,6
"43","Local prior",464.842278041297,0.28,3066,6
"44","Non local",474.969246158652,0.24,4600,6
"45","Ada mod",470.631937137993,0.52,541,6
"46","Lasso mod",460.634372297049,0.46,920,6
"47","Naive",530.387856952924,0.8,200,6
"48","Oracle",489.076187360292,1,259,6
"49","Lasso",329.82059744406,0.4,836,7
"50","Ada Lasso",337.324668245846,0.26,3680,7
"51","Local prior",337.17208549767,0.24,9200,7
"52","Non local",348.763335731478,0.2,Inf,7
"53","Ada mod",335.75267441157,0.32,1314,7
"54","Lasso mod",337.116922423378,0.26,6133,7
"55","Naive",385.579806825241,0.8,200,7
"56","Oracle",360.122902972948,1,270,7
"57","Lasso",280.235699037943,0.24,1082,8
"58","Ada Lasso",281.385816137994,0.18,2044,8
"59","Local prior",284.176706317604,0.22,3066,8
"60","Non local",281.799157430624,0.16,3066,8
"61","Ada mod",286.413536542722,0.22,18400,8
"62","Lasso mod",285.114576970786,0.46,613,8
"63","Naive",308.477330697326,0.8,200,8
"64","Oracle",290.746289080079,1,259,8
"65","Lasso",238.2101323195,0.34,1533,9
"66","Ada Lasso",240.071041701569,0.26,4600,9
"67","Local prior",243.810615871303,0.22,9200,9
"68","Non local",237.19140284424,0.22,9200,9
"69","Ada mod",237.644053158672,0.3,2300,9
"70","Lasso mod",238.043655129787,0.54,613,9
"71","Naive",252.583024674528,0.8,200,9
"72","Oracle",246.579520393078,1,245,9
"73","Lasso",507.497648383597,0.46,471,10
"74","Ada Lasso",499.822548009868,0.16,2628,10
"75","Local prior",494.979484008933,0.14,3680,10
"76","Non local",506.757991308135,0.2,Inf,10
"77","Ada mod",504.128077593233,0.22,18400,10
"78","Lasso mod",504.128077593233,0.22,18400,10
"79","Naive",553.278598483469,0.8,200,10
"80","Oracle",536.991823032948,1,252,10
"81","Lasso",370.816692728999,0.44,557,11
"82","Ada Lasso",375.850536813067,0.24,6133,11
"83","Local prior",374.426232161631,0.26,3680,11
"84","Non local",391.48903874643,0.2,Inf,11
"85","Ada mod",386.107080489548,0.22,18400,11
"86","Lasso mod",391.48903874643,0.2,Inf,11
"87","Naive",405.73017391466,0.8,200,11
"88","Oracle",389.250522175219,1,245,11
"89","Lasso",267.724889683009,0.42,368,12
"90","Ada Lasso",257.327290099797,0.24,2300,12
"91","Local prior",263.562149814085,0.24,3066,12
"92","Non local",267.09806130217,0.2,Inf,12
"93","Ada mod",267.09806130217,0.2,Inf,12
"94","Lasso mod",267.09806130217,0.2,Inf,12
"95","Naive",278.177125343442,0.8,200,12
"96","Oracle",265.281372589042,1,248,12
"97","Lasso",484.541614520479,0.26,4600,13
"98","Ada Lasso",490.317556561526,0.24,6133,13
"99","Local prior",491.802920965727,0.22,9200,13
"100","Non local",498.171924825274,0.2,Inf,13
"101","Ada mod",484.541614520479,0.26,4600,13
"102","Lasso mod",488.425102574242,0.24,4600,13
"103","Naive",511.100042839113,0.8,200,13
"104","Oracle",495.770957406303,1,255,13
"105","Lasso",648.930824566746,0.36,876,14
"106","Ada Lasso",696.497103065524,0.26,3680,14
"107","Local prior",696.497103065524,0.26,3680,14
"108","Non local",698.669458201674,0.2,Inf,14
"109","Ada mod",644.985234493242,0.38,1314,14
"110","Lasso mod",652.41656122573,0.32,2628,14
"111","Naive",734.071337002418,0.8,200,14
"112","Oracle",673.382775715478,1,262,14
"113","Lasso",475.869586352827,0.28,1082,15
"114","Ada Lasso",507.94694604205,0.2,4600,15
"115","Local prior",482.469114541767,0.26,2300,15
"116","Non local",513.951892809043,0.2,Inf,15
"117","Ada mod",493.865918836696,0.2,6133,15
"118","Lasso mod",491.250986759029,0.24,9200,15
"119","Naive",506.463275276505,0.8,200,15
"120","Oracle",502.237305725018,1,252,15
"121","Lasso",875.736151190686,0.42,681,16
"122","Ada Lasso",865.06711683657,0.3,1314,16
"123","Local prior",865.203058217063,0.28,2300,16
"124","Non local",865.203058217063,0.28,2300,16
"125","Ada mod",885.843628820096,0.32,968,16
"126","Lasso mod",871.675533128924,0.44,681,16
"127","Naive",1011.86810825176,0.8,200,16
"128","Oracle",986.023352424158,1,252,16
"129","Lasso",295.920031783035,0.48,657,17
"130","Ada Lasso",295.920031783035,0.48,657,17
"131","Local prior",321.574447091196,0.26,3066,17
"132","Non local",323.899106690112,0.22,18400,17
"133","Ada mod",308.494839437019,0.38,1533,17
"134","Lasso mod",316.468059993579,0.34,2628,17
"135","Naive",317.566993990917,0.8,200,17
"136","Oracle",308.722103183527,1,248,17
"137","Lasso",489.096096987518,0.34,1226,18
"138","Ada Lasso",499.097451440551,0.28,1840,18
"139","Local prior",518.615440176504,0.24,2044,18
"140","Non local",506.014793072054,0.22,9200,18
"141","Ada mod",496.195406166995,0.3,1533,18
"142","Lasso mod",501.418259091156,0.3,2628,18
