"","metodologia","mse","accuracy","n","seed"
"1","Lasso",14.1835837697613,0.68,471,1
"2","Ada Lasso",13.9522652188669,0.82,836,1
"3","Local prior",13.9414007976801,0.88,1150,1
"4","Non local",14.8735058422344,0.88,2044,1
"5","Ada mod",14.4496610059076,0.54,375,1
"6","Lasso mod",14.2033824446718,0.56,438,1
"7","Naive",15.3331909645249,0.2,200,1
"8","Oracle",13.6999708816363,1,920,1
"9","Lasso",12.0392449445384,0.64,427,2
"10","Ada Lasso",11.7828722572662,0.74,634,2
"11","Local prior",13.2028152729847,0.88,2300,2
"12","Non local",13.193174635934,0.9,3066,2
"13","Ada mod",11.9938199181629,0.66,460,2
"14","Lasso mod",12.6759706763743,0.88,1226,2
"15","Naive",12.5160470014632,0.2,200,2
"16","Oracle",11.4916587983956,1,1415,2
"17","Lasso",5.71064889301463,0.76,525,3
"18","Ada Lasso",5.64754639227339,0.9,1082,3
"19","Local prior",5.60108301408832,0.94,1415,3
"20","Non local",5.70650770001242,0.9,2044,3
"21","Ada mod",5.71064889301463,0.76,525,3
"22","Lasso mod",5.63933830664239,0.8,525,3
"23","Naive",6.01133956132335,0.2,200,3
"24","Oracle",5.46468924154155,1,1082,3
"25","Lasso",5.58827236736527,0.58,360,4
"26","Ada Lasso",5.45332277579706,0.92,1226,4
"27","Local prior",5.45332277579706,0.92,1226,4
"28","Non local",5.95231488833641,0.88,2628,4
"29","Ada mod",5.51088942161418,0.7,471,4
"30","Lasso mod",5.52470224551337,0.62,448,4
"31","Naive",5.97956535998604,0.2,200,4
"32","Oracle",5.15562756900866,1,1022,4
"33","Lasso",14.1290198686637,0.72,471,5
"34","Ada Lasso",14.1588418919584,0.9,1840,5
"35","Local prior",14.1588418919584,0.9,1840,5
"36","Non local",14.1588418919584,0.9,1840,5
"37","Ada mod",14.0282971370143,0.72,460,5
"38","Lasso mod",14.1050299051133,0.76,575,5
"39","Naive",15.4401849490028,0.2,200,5
"40","Oracle",13.8769373116826,1,920,5
"41","Lasso",9.6528806415704,0.8,836,6
