"","metodologia","mse","accuracy","n","seed"
"1","Lasso",351.064526203396,0.36,766,1
"2","Ada Lasso",354.610596060864,0.26,2628,1
"3","Local prior",358.490537879134,0.2,9200,1
"4","Non local",366.12329535875,0.2,Inf,1
"5","Lasso mod 10000",352.014445825529,0.26,1672,1
"6","Lasso mod 200",352.014445825529,0.26,1672,1
"7","Lasso mod 100",352.014445825529,0.26,1672,1
"8","Lasso mod 50",352.014445825529,0.26,1672,1
"9","Naive",401.587407176315,0.8,200,1
"10","Oracle",384.892848718832,1,245,1
"11","Lasso",460.727864530166,0.32,920,2
"12","Ada Lasso",465.090104045714,0.24,2628,2
"13","Local prior",466.612674026191,0.26,3066,2
"14","Non local",482.374858848658,0.2,Inf,2
"15","Lasso mod 10000",450.872091369839,0.34,1840,2
"16","Lasso mod 200",468.113353201874,0.24,9200,2
"17","Lasso mod 100",464.110528336135,0.26,4600,2
"18","Lasso mod 50",456.876114541333,0.28,3680,2
"19","Naive",475.665355812028,0.8,200,2
"20","Oracle",465.154623831358,1,252,2
"21","Lasso",352.035544424618,0.2,Inf,3
"22","Ada Lasso",332.976969544636,0.24,6133,3
"23","Local prior",342.662365638271,0.22,9200,3
"24","Non local",352.035544424618,0.2,Inf,3
"25","Lasso mod 10000",334.729892073072,0.28,4600,3
"26","Lasso mod 200",352.035544424618,0.2,Inf,3
"27","Lasso mod 100",334.729892073072,0.28,4600,3
"28","Lasso mod 50",334.729892073072,0.28,4600,3
"29","Naive",363.276599491357,0.8,200,3
"30","Oracle",353.781284383891,1,245,3
"31","Lasso",516.317601330118,0.2,Inf,4
"32","Ada Lasso",516.317601330118,0.2,Inf,4
"33","Local prior",512.158915499037,0.24,6133,4
"34","Non local",516.317601330118,0.2,Inf,4
"35","Lasso mod 10000",516.317601330118,0.2,Inf,4
"36","Lasso mod 200",516.317601330118,0.2,Inf,4
"37","Lasso mod 100",516.317601330118,0.2,Inf,4
"38","Lasso mod 50",516.317601330118,0.2,Inf,4
"39","Naive",540.948567779915,0.8,200,4
"40","Oracle",516.16672234034,1,255,4
"41","Lasso",179.367144315065,0.22,6133,5
"42","Ada Lasso",181.700938617972,0.2,Inf,5
"43","Local prior",181.700938617972,0.2,Inf,5
"44","Non local",181.700938617972,0.2,Inf,5
"45","Lasso mod 10000",174.952925205846,0.3,3680,5
"46","Lasso mod 200",181.700938617972,0.2,Inf,5
"47","Lasso mod 100",181.700938617972,0.2,Inf,5
"48","Lasso mod 50",181.700938617972,0.2,Inf,5
"49","Naive",172.001391615685,0.8,200,5
"50","Oracle",170.111434762626,1,262,5
"51","Lasso",501.757910179668,0.52,541,6
"52","Ada Lasso",492.54626892651,0.42,920,6
"53","Local prior",496.0236014353,0.28,3066,6
"54","Non local",499.482436717101,0.24,4600,6
"55","Lasso mod 10000",492.30069954633,0.44,968,6
"56","Lasso mod 200",492.30069954633,0.44,968,6
"57","Lasso mod 100",492.30069954633,0.44,968,6
"58","Lasso mod 50",492.30069954633,0.44,968,6
"59","Naive",541.748689377133,0.8,200,6
"60","Oracle",514.254357852657,1,259,6
"61","Lasso",356.760036896565,0.4,836,7
"62","Ada Lasso",360.274326708306,0.26,3680,7
"63","Local prior",359.933624045822,0.24,9200,7
"64","Non local",373.414099078905,0.2,Inf,7
"65","Lasso mod 10000",357.794251553035,0.26,6133,7
"66","Lasso mod 200",357.794251553035,0.26,6133,7
"67","Lasso mod 100",357.794251553035,0.26,6133,7
"68","Lasso mod 50",357.794251553035,0.26,6133,7
"69","Naive",397.560045478828,0.8,200,7
"70","Oracle",375.874731699325,1,270,7
"71","Lasso",303.169963319635,0.24,1082,8
"72","Ada Lasso",303.303532676634,0.18,2044,8
"73","Local prior",303.491514242606,0.22,3066,8
"74","Non local",304.645632036753,0.16,3066,8
"75","Lasso mod 10000",304.899144358391,0.5,497,8
"76","Lasso mod 200",300.578210568542,0.42,800,8
"77","Lasso mod 100",300.578210568542,0.42,800,8
"78","Lasso mod 50",294.758205915951,0.36,1082,8
"79","Naive",337.627930350788,0.8,200,8
"80","Oracle",320.717937328854,1,259,8
"81","Lasso",221.763087254388,0.34,1533,9
"82","Ada Lasso",220.626809996332,0.26,4600,9
"83","Local prior",226.787654563281,0.22,9200,9
"84","Non local",220.187987267658,0.22,9200,9
"85","Lasso mod 10000",221.693985542112,0.6,541,9
"86","Lasso mod 200",221.283201233948,0.26,6133,9
"87","Lasso mod 100",221.283201233948,0.26,6133,9
"88","Lasso mod 50",221.283201233948,0.26,6133,9
"89","Naive",230.488785918543,0.8,200,9
"90","Oracle",225.853991061299,1,245,9
"91","Lasso",494.192553336441,0.46,471,10
"92","Ada Lasso",505.274103018332,0.16,2628,10
"93","Local prior",505.408511214203,0.14,3680,10
"94","Non local",513.691652795755,0.2,Inf,10
"95","Lasso mod 10000",512.696412644141,0.22,18400,10
"96","Lasso mod 200",512.696412644141,0.22,18400,10
"97","Lasso mod 100",512.696412644141,0.22,18400,10
"98","Lasso mod 50",512.696412644141,0.22,18400,10
"99","Naive",516.374923287933,0.8,200,10
"100","Oracle",508.070975563692,1,252,10
