"","metodologia","mse","accuracy","n","seed"
"1","Lasso",15.0337151594916,0.88,1533,1
"2","Ada Lasso",15.094998121453,0.9,3680,1
"3","Local prior",15.094998121453,0.9,3680,1
"4","Non local",15.1517335771778,0.92,9200,1
"5","Ada mod",15.1165229415442,0.84,1150,1
"6","Lasso mod",15.1517335771778,0.92,9200,1
"7","Naive",16.5981823227423,0.1,200,1
"8","Oracle",14.9788537677299,1,1672,1
"9","Lasso",75.9466296705009,0.88,2044,2
"10","Ada Lasso",75.7044037676383,0.9,3066,2
"11","Local prior",77.0123065421148,0.88,3680,2
"12","Non local",81.3002956377265,0.88,18400,2
"13","Ada mod",76.4403803735601,0.88,3680,2
"14","Lasso mod",75.1557442991382,0.94,4600,2
"15","Naive",84.7341193003273,0.1,200,2
"16","Oracle",75.4978076926424,1,2628,2
"17","Lasso",40.2397531537326,0.78,1533,3
"18","Ada Lasso",40.4583107374726,0.74,800,3
"19","Local prior",40.5741498103431,0.88,4600,3
"20","Non local",40.4755240858177,0.92,18400,3
"21","Ada mod",40.3570609350479,0.72,876,3
"22","Lasso mod",40.1087591054071,0.84,3066,3
"23","Naive",48.1666825793186,0.1,200,3
"24","Oracle",40.3926720559636,1,2044,3
"25","Lasso",39.8263551480809,0.9,Inf,4
"26","Ada Lasso",39.8263551480809,0.9,Inf,4
"27","Local prior",39.2918662379849,0.88,9200,4
"28","Non local",39.8263551480809,0.9,Inf,4
"29","Ada mod",39.8263551480809,0.9,Inf,4
"30","Lasso mod",39.8263551480809,0.9,Inf,4
"31","Naive",40.6563592809492,0.1,200,4
"32","Oracle",36.7513613358754,1,1840,4
"33","Lasso",74.6903801853073,0.88,3680,5
"34","Ada Lasso",74.6903801853073,0.88,3680,5
"35","Local prior",77.3798343719725,0.92,18400,5
"36","Non local",83.9000379031025,0.9,Inf,5
"37","Ada mod",75.7395871179537,0.9,6133,5
"38","Lasso mod",76.3694568741446,0.94,9200,5
"39","Naive",82.9850361450325,0.1,200,5
"40","Oracle",73.763871109123,1,1840,5
"41","Lasso",104.59372133728,0.84,836,6
"42","Ada Lasso",102.581541382234,0.94,1533,6
"43","Local prior",102.203131277446,0.98,2300,6
"44","Non local",102.880095004127,0.96,3680,6
"45","Ada mod",104.59372133728,0.84,836,6
"46","Lasso mod",103.720774940109,0.84,1082,6
"47","Naive",111.473908034269,0.1,200,6
"48","Oracle",101.066791542305,1,2044,6
"49","Lasso",81.4318405403852,0.9,3680,7
"50","Ada Lasso",81.4318405403852,0.9,3680,7
"51","Local prior",82.8309612264301,0.88,9200,7
"52","Non local",82.8309612264301,0.88,9200,7
"53","Ada mod",81.4318405403852,0.9,3680,7
"54","Lasso mod",82.8309612264301,0.88,9200,7
"55","Naive",88.4223157738137,0.1,200,7
"56","Oracle",78.7578810369587,1,1840,7
"57","Lasso",29.1845696628846,0.72,707,8
"58","Ada Lasso",31.6585094370168,0.9,Inf,8
"59","Local prior",30.8412354963786,0.92,9200,8
"60","Non local",31.6585094370168,0.9,Inf,8
"61","Ada mod",31.6585094370168,0.9,Inf,8
"62","Lasso mod",29.8029280322397,0.9,9200,8
"63","Naive",30.8603881143367,0.1,200,8
"64","Oracle",28.6387643557448,1,2044,8
"65","Lasso",42.2084513813047,0.86,1082,9
"66","Ada Lasso",44.0359874621998,0.88,1840,9
"67","Local prior",43.7016698286504,0.94,2300,9
"68","Non local",43.8056222472158,0.9,4600,9
"69","Ada mod",42.4319351619912,0.9,1672,9
"70","Lasso mod",42.2628164720158,0.76,836,9
"71","Naive",47.5990565469179,0.1,200,9
"72","Oracle",41.9273949206478,1,2300,9
"73","Lasso",22.4392861686789,0.9,Inf,10
"74","Ada Lasso",22.4392861686789,0.9,Inf,10
"75","Local prior",22.4673784913258,0.92,18400,10
"76","Non local",22.4392861686789,0.9,Inf,10
"77","Ada mod",22.4392861686789,0.9,Inf,10
"78","Lasso mod",22.4392861686789,0.9,Inf,10
"79","Naive",23.3935968760917,0.1,200,10
"80","Oracle",20.7370613869251,1,2044,10
"81","Lasso",91.1951148138133,0.86,1314,11
"82","Ada Lasso",91.7280450353503,0.92,2628,11
"83","Local prior",94.2717903815934,0.9,3066,11
"84","Non local",94.2717903815934,0.9,3066,11
"85","Ada mod",92.1722061972819,0.88,1533,11
"86","Lasso mod",96.0260744477149,0.92,18400,11
"87","Naive",111.346722595929,0.1,200,11
"88","Oracle",90.75114468094,1,2628,11
"89","Lasso",19.0458962886414,0.76,1082,12
"90","Ada Lasso",19.8565589446262,0.9,Inf,12
"91","Local prior",19.8399940354767,0.84,3066,12
"92","Non local",19.8565589446262,0.9,Inf,12
"93","Ada mod",18.8605036309653,0.84,3680,12
"94","Lasso mod",18.9532806770481,0.88,3680,12
"95","Naive",20.7232807676019,0.1,200,12
"96","Oracle",18.7034997317154,1,2300,12
"97","Lasso",9.24830014671531,0.9,1415,13
"98","Ada Lasso",9.24830014671531,0.9,1415,13
"99","Local prior",9.12109897704993,0.98,2044,13
"100","Non local",10.1195797096661,0.9,Inf,13
"101","Ada mod",9.24830014671531,0.9,1415,13
"102","Lasso mod",9.84308637887629,0.88,18400,13
"103","Naive",10.5144713500641,0.1,200,13
"104","Oracle",9.09204202558122,1,1840,13
"105","Lasso",74.1904338183325,0.68,541,14
"106","Ada Lasso",70.5862325600388,0.84,1082,14
"107","Local prior",70.6433528898346,0.92,2628,14
"108","Non local",75.054360198394,0.9,Inf,14
"109","Ada mod",71.97645932236,0.72,634,14
"110","Lasso mod",75.054360198394,0.9,Inf,14
"111","Naive",77.9797142755101,0.1,200,14
"112","Oracle",69.2559824036931,1,2300,14
"113","Lasso",117.177983374987,0.84,1840,15
"114","Ada Lasso",116.80956846404,0.94,9200,15
"115","Local prior",118.881151551222,0.94,9200,15
"116","Non local",128.377079935818,0.9,Inf,15
"117","Ada mod",121.084697591417,0.78,2300,15
"118","Lasso mod",128.377079935818,0.9,Inf,15
"119","Naive",129.605110534168,0.1,200,15
"120","Oracle",116.515407908855,1,2628,15
"121","Lasso",70.8876684089072,0.84,968,16
"122","Ada Lasso",72.2268405525918,0.92,3066,16
"123","Local prior",71.5672640419746,0.88,3680,16
"124","Non local",71.5672640419746,0.88,3680,16
"125","Ada mod",70.8876684089072,0.84,968,16
"126","Lasso mod",70.2486496182536,0.84,2300,16
"127","Naive",77.6451293802066,0.1,200,16
"128","Oracle",69.7392107140891,1,1672,16
"129","Lasso",5.66104268768307,0.86,3066,17
"130","Ada Lasso",5.80951819409845,0.9,Inf,17
"131","Local prior",5.64832640931975,0.9,4600,17
"132","Non local",5.80951819409845,0.9,Inf,17
"133","Ada mod",5.66104268768307,0.86,3066,17
"134","Lasso mod",5.80951819409845,0.9,Inf,17
"135","Naive",6.2986480778316,0.1,200,17
"136","Oracle",5.60164363472766,1,1672,17
"137","Lasso",32.2490026482266,0.88,1672,18
"138","Ada Lasso",32.0537361740233,0.94,6133,18
"139","Local prior",32.0537361740233,0.94,6133,18
"140","Non local",32.353702690504,0.92,9200,18
"141","Ada mod",32.2597185827078,0.94,3680,18
"142","Lasso mod",32.1738615961916,0.9,2628,18
"143","Naive",39.4392964378404,0.1,200,18
"144","Oracle",32.0467874072417,1,2300,18
"145","Lasso",63.1208804967605,0.76,836,19
"146","Ada Lasso",62.5912896175278,0.8,1150,19
"147","Local prior",61.8748731860674,0.9,4600,19
"148","Non local",61.6014484507061,0.92,18400,19
"149","Ada mod",63.2860646002123,0.84,2628,19
"150","Lasso mod",61.6014484507061,0.92,18400,19
"151","Naive",70.101159512261,0.1,200,19
"152","Oracle",59.9379121975263,1,1840,19
"153","Lasso",9.70229544543573,0.74,1082,20
"154","Ada Lasso",9.914291897551,0.9,3680,20
"155","Local prior",9.914291897551,0.9,3680,20
"156","Non local",10.8360486710543,0.9,Inf,20
"157","Ada mod",9.62177774342526,0.82,1840,20
"158","Lasso mod",10.1612165076406,0.9,9200,20
"159","Naive",11.1238242850856,0.1,200,20
"160","Oracle",9.63822135246375,1,2300,20
"161","Lasso",34.6481013324082,0.78,1082,21
"162","Ada Lasso",34.2079123608406,0.92,9200,21
"163","Local prior",34.2079123608406,0.92,9200,21
"164","Non local",34.2079123608406,0.92,9200,21
"165","Ada mod",34.2535277954781,0.9,6133,21
"166","Lasso mod",33.6691337171604,0.92,4600,21
"167","Naive",38.2922573531175,0.1,200,21
"168","Oracle",32.1823388804402,1,2300,21
"169","Lasso",9.63643633050483,0.9,9200,22
"170","Ada Lasso",10.3435693006201,0.9,Inf,22
"171","Local prior",10.2622722522297,0.86,3066,22
"172","Non local",10.3435693006201,0.9,Inf,22
"173","Ada mod",9.63643633050483,0.9,9200,22
"174","Lasso mod",9.63643633050483,0.9,9200,22
"175","Naive",10.9547903432267,0.1,200,22
"176","Oracle",9.57849615106933,1,2628,22
"177","Lasso",20.7841202715359,0.8,1226,23
"178","Ada Lasso",20.711671776928,0.84,1415,23
"179","Local prior",21.6384936824414,0.86,2300,23
"180","Non local",22.230692729117,0.86,4600,23
"181","Ada mod",20.7841202715359,0.8,1226,23
"182","Lasso mod",20.9161335104742,0.78,1840,23
"183","Naive",22.9454785770453,0.1,200,23
"184","Oracle",20.1752127085267,1,2044,23
"185","Lasso",39.3007217983741,0.88,1672,24
"186","Ada Lasso",40.9157285822985,0.92,9200,24
