"","Regressor","Price","second_stage"
"1","X1",1000,TRUE
"2","X2",1000,TRUE
"3","X3",3000,TRUE
"4","X4",3000,FALSE
"5","X5",1000,FALSE
"6","X6",3000,TRUE
"7","X7",3000,TRUE
"8","X8",1000,FALSE
"9","X9",2000,FALSE
"10","X10",1000,FALSE
"11","X11",1000,TRUE
"12","X12",1000,FALSE
"13","X13",2000,FALSE
"14","X14",1000,FALSE
"15","X15",1000,TRUE
"16","X16",1000,TRUE
"17","X17",2000,FALSE
"18","X18",1000,TRUE
"19","X19",1000,FALSE
"20","X20",1000,TRUE
"21","X21",2000,FALSE
"22","X22",2000,FALSE
"23","X23",2000,TRUE
"24","X24",2000,FALSE
"25","X25",2000,FALSE
"26","X26",1000,FALSE
"27","X27",1000,FALSE
"28","X28",1000,TRUE
"29","X29",1000,FALSE
"30","X30",1000,FALSE
"31","X31",2000,FALSE
"32","X32",2000,FALSE
"33","X33",2000,TRUE
"34","X34",2000,FALSE
"35","X35",2000,FALSE
"36","X36",2000,FALSE
"37","X37",2000,FALSE
"38","X38",2000,FALSE
"39","X39",2000,FALSE
"40","X40",2000,FALSE
"41","X41",3000,FALSE
"42","X42",3000,FALSE
"43","X43",3000,FALSE
"44","X44",3000,FALSE
"45","X45",3000,TRUE
"46","X46",3000,TRUE
"47","X47",2000,TRUE
"48","X48",2000,FALSE
"49","X49",2000,TRUE
"50","X50",2000,FALSE
